Case Number,Case Title
A-000-000,Shells From Seychelles
A-000-001,test From Iceland
A-000-005,Test From Argentina
A-000-008,Testing From Bangladesh
A-000-009,Test From Bahamas
A-000-012,Test From India
A-000-013,India From India
A-000-015,Testing Purpose From Bangladesh
A-000-030,Test From Bangladesh
A-000-031,test From Bangladesh
A-000-088,Paper (Test) From Peru
A-000-099,Fiji's From Fiji
A-000-101,Test From Bangladesh
A-000-102,TEst From Bangladesh
A-000-500,Testing Limited From Bangladesh
A-000-501,TextTile From Bangladesh
A-000-502,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid (Hedp) From India From India"
A-000-503,Testing Purpose From Bangladesh
A-000-888,Woods From USA
A-022-022,Test From Bangladesh
A-022-023,Test From Bangladesh
A-022-024,Test From Bangladesh
A-022-025,Test From Bangladesh
A-111-111,Sand From Burundi
A-122-503,Iron Construction Castings From Canada
A-122-822,CORE From Canada
A-122-840,Carbon and Certain Alloy Steel Wire Rod From Canada
A-122-853,Citric Acid And Citrate Salt From Canada
A-122-855,Polyethylene Terephthalate Resin From Canada
A-122-856,Certain Iron Mechanical Transfer Drive Components From Canada
A-122-857,Softwood Lumber From Canada
A-122-859,100- to 150-Seat Large Civil Aircraft From Canada
A-122-861,Uncoated Groundwood Paper From Canada
A-122-863,Large Diameter Welded Carbon and Alloy Steel Line and Structural Pipe From Canada
A-122-864,Fabricated Structural Steel From Canada
A-122-866,Sodium Sulfate Anhydrous From Canada
A-122-867,Utility Scale Wind Towers From Canada
A-122-988,Crystalline Silicon Photovoltaic Cells From Canada
A-123-455,Test From Albania
A-201-805,Circular Welded Non-Alloy Steel Pipe From Mexico
A-201-820,Fresh Tomatoes From Mexico
A-201-822,Stainless Steel Sheet And Strip In Coils From Mexico
A-201-830,Carbon And Certain Alloy Steel Wire Rod From Mexico
A-201-831,Prestressed Concrete Steel Wire Strand From Mexico
A-201-834,Carboxymethylcellulose From Mexico
A-201-835,Lemon Juice From Mexico
A-201-836,Light-Walled Rectangular Pipe And Tube From Mexico
A-201-837,Magnesia Carbon Bricks From Mexico
A-201-838,Seamless Refined Copper Pipe And Tube From Mexico
A-201-839,Bottom Mount Combination Refrigerator-Freezers From Mexico
A-201-840,Galvanized Steel Wire From Mexico
A-201-842,Large Residential Washers From Mexico
A-201-843,Prestressed Concrete Steel Rail Tie Wire From Mexico
A-201-844,Steel Concrete Reinforcing Bars From Mexico
A-201-845,Sugar From Mexico
A-201-847,Heavy Walled Rectangular Welded Carbon Steel Pipes and Tubes From Mexico
A-201-848,Emulsion Styrene-Butadiene Rubber(ESBR) From Mexico
A-201-849,Refillable Stainless Steel Kegs From Mexico
A-201-850,Fabricated Structural Steel From Mexico
A-201-852,Polyethylene Terephthalate Sheet From Mexico
A-201-853,Standard Welded Wire Mesh From Mexico
A-201-988,Crystalline Silicon Photovoltaic Cells From Mexico
A-274-804,Carbon And Certain Alloy Steel Wire Rod From Trinidad and Tobago
A-274-806,Melamine From Trinidad and Tobago
A-301-803,Citric Acid and Certain Citrate Salts From Colombia
A-301-804,Prestressed Concrete Steel Wire Strand From Colombia
A-307-820,Silicomanganese From Venezuela
A-307-824,Ferrosilicon From Venezuela
A-331-802,Certain Frozen and Canned Warmwater Shrimp From Ecuador
A-337-804,Certain Preserved Mushrooms From Chile
A-351-503,Iron Construction Castings From Brazil
A-351-602,Carbon Steel Butt-Weld Pipe Fittings From Brazil
A-351-809,Circular Welded Non-Alloy Steel Pipe From Brazil
A-351-824,Silicomanganese From Brazil
A-351-825,Stainless Steel Bar From Brazil
A-351-828,Hot-Rolled Flat-Rolled Carbon-Quality Steel Products From Brazil
A-351-832,Carbon And Certain Alloy Steel Wire Rod From Brazil
A-351-837,Prestressed Concrete Steel Wire Strand From Brazil
A-351-838,Frozen Warmwater Shrimp From Brazil
A-351-840,Orange Juice From Brazil
A-351-841,Polyethylene Terephthalate (Pet) Film From Brazil
A-351-842,Uncoated Paper From Brazil
A-351-843,Cold-Rolled Steel Flat Products From Brazil
A-351-845,Hot-Rolled Steel Flat Products From Brazil
A-351-847,Carbon and Alloy Steel Cut-To-Length Plate From Brazil
A-351-849,Emulsion Styrene-Butadiene Rubber(ESBR) From Brazil
A-351-850,Silicon Metal From Brazil
A-351-852,Polyethylene Terephthalate Resin From Brazil
A-351-853,Wood Mouldings and Millwork Products From Brazil
A-351-854,Common Alloy Aluminum Sheet From Brazil
A-357-812,Honey From Argentina
A-357-818,Lemon Juice From Argentina
A-357-820,Biodiesel From Argentina
A-357-822,Prestressed Concrete Steel Wire Strand From Argentina
A-357-988,Crystalline Silicon Photovoltaic Cells From Argentina
A-400-001,Silicon Metal From Iceland
A-401-808,Purified Carboxmethylcellulose From Sweden
A-401-809,Non-Oriented Electrical Steel From Sweden
A-401-988,Crystalline Silicon Photovoltaic Cells From Sweden
A-403-801,Fresh & Chilled Atlantic Salmon From Norway
A-403-805,Silicon Metal From Norway
A-403-988,Crystalline Silicon Photovoltaic Cells From Norway
A-405-803,Carboxymethylcellulose From Finland
A-409-988,Crystalline Silicon Photovoltaic Cells From Denmark
A-412-801,"Antifriction Bearings, Ball From United Kingdom"
A-412-814,Cut To Length Carbon Steel Plate From United Kingdom
A-412-824,Cold-Rolled Steel Flat Products From United Kingdom
A-412-825,Hot-Rolled Steel Flat Products From United Kingdom
A-412-826,Carbon and Alloy Steel Wire Rod From United Kingdom
A-412-988,Crystalline Silicon Photovoltaic Cells From United Kingdom
A-412-990,Small Diameter Grahpic Electrodes From United Kingdom
A-421-807,Certain Hot-Rolled Carbon Steel Flat Products From Netherlands
A-421-811,Carboxymethylcellulose From Netherlands
A-421-812,Cold-Rolled Steel Flat Products From Netherlands
A-421-813,Hot-Rolled Steel Flat Products From Netherlands
A-421-814,Prestressed Concrete Steel Wire Strand From Netherlands
A-421-988,Crystalline Silicon Photovoltaic Cells From Netherlands
A-423-808,Stainless Steel Plate In Coils From Belgium
A-423-812,Carbon and Alloy Steel Cut-To-Length Plate From Belgium
A-423-813,Citric Acid and Certain Citrate Salts From Belgium
A-423-814,Acetone From Belgium
A-423-988,Crystalline Silicon Photovoltaic Cells From Belgium
A-423-990,Certain Crystalline Silicon Photovoltaic Products From Belgium
A-427-001,Sorbitol From France
A-427-602,Brass Sheet & Strip From France
A-427-801,"Antifriction Bearings, Ball From France"
A-427-818,Uranium From France
A-427-828,Carbon and Alloy Steel Cut-To-Length Plate From France
A-427-829,"Sodium Gluconate, Gluconic Acid and Derivative Products From France"
A-427-830,Strontium Chromate From France
A-427-831,Methionine From France
A-427-988,Crystalline Silicon Photovoltaic Cells From France
A-428-602,Brass Sheet & Strip From Germany
A-428-801,"Antifriction Bearings, Ball From Germany"
A-428-815,Corrosion-Resistant Carbon Steel Flat Products From Germany
A-428-820,Seamless Line And Pressure Pipe From Germany
A-428-825,Stainless Steel Sheet And Strip In Coils From Germany
A-428-830,Stainless Steel Bar From Germany
A-428-835,Oil Country Tubular Goods From Germany
A-428-840,Lightweight Thermal Paper From Germany
A-428-841,Sodium Nitrite From Germany
A-428-842,Grain-Oriented Electrical Steel from Germany From Germany
A-428-843,Non-Oriented Electrical Steel From Germany
A-428-844,Carbon and Alloy Steel Cut-To-Length Plate From Germany
A-428-845,Cold-Drawn Mechanical Tubing From Germany
A-428-846,Refillable Stainless Steel Kegs From Germany
A-428-847,Forged Steel Fluid End Blocks From Germany
A-428-849,Common Alloy Aluminum Sheet From Germany
A-428-988,Crystalline Silicon Photovoltaic Cells From Germany
A-433-811,Xanthan Gum From Austria
A-433-812,Carbon and Alloy Steel Cut-To-Length Plate From Austria
A-433-813,Strontium Chromate From Austria
A-433-988,Crystalline Silicon Photovoltaic Cells From Austria
A-437-988,Crystalline Silicon Photovoltaic Cells From Hungary
A-441-801,Cold-Drawn Mechanical Tubing From Switzerland
A-441-988,Crystalline Silicon Photovoltaic Cells From Switzerland
A-449-804,Steel Concrete Reinforcing Bars From Latvia
A-455-803,Steel Concrete Reinforcing Bars From Poland
A-455-804,Grain-Oriented Electrical Steel From Poland
A-455-805,Emulsion Styrene-Butadiene Rubber(ESBR) From Poland
A-455-988,Crystalline Silicon Photovoltaic Cells From Poland
A-457-804,Urea Ammoniun Nitrate Solutions From Lithuania
A-469-805,Stainless Steel Bar From Spain
A-469-807,Stainless Steel Wire Rod From Spain
A-469-814,Chlorinated Isocyanurates From Spain
A-469-815,Finished Carbon Steel Flanges From Spain
A-469-816,Carbon and Alloy Steel Wire Rod From Spain
A-469-817,Ripe Olives From Spain
A-469-819,Acetone From Spain
A-469-820,Common Alloy Aluminum Sheet From Spain
A-469-821,Prestressed Concrete Steel Wire Strand From Spain
A-469-822,Methionine From Spain
A-469-988,Crystalline Silicon Photovoltaic Cells From Spain
A-471-807,Uncoated Paper From Portugal
A-471-988,Crystalline Silicon Photovoltaic Cells From Portugal
A-475-059,Pressure Sensitive Plastic Tape From Italy
A-475-601,Brass Sheet & Strip From Italy
A-475-703,Granular Polytetrafluoroethylene Resin From Italy
A-475-801,"Antifriction Bearings, Ball From Italy"
A-475-818,"Pasta, Certain From Italy"
A-475-820,Stainless Steel Wire Rod From Italy
A-475-822,Stainless Steel Plate In Coils From Italy
A-475-824,Stainless Steel Sheet And Strip In Coils From Italy
A-475-826,Certain Cut-To-Length Carbon-Quality Steel Plate From Italy
A-475-828,Stainless Steel Butt-Weld Pipe Fittings From Italy
A-475-829,Stainless Steel Bar From Italy
A-475-832,Corrosion-Resistant Steel Products From Italy
A-475-834,Carbon and Alloy Steel Cut-To-Length Plate From Italy
A-475-835,Finished Carbon Steel Flanges From Italy
A-475-836,Carbon and Alloy Steel Wire Rod From Italy
A-475-838,Cold-Drawn Mechanical Tubing From Italy
A-475-839,Forged Steel Fittings From Italy
A-475-840,Forged Steel Fluid End Blocks From Italy
A-475-842,Common Alloy Aluminum Sheet From Italy
A-475-843,Prestressed Concrete Steel Wire Strand From Italy
A-475-988,Crystalline Silicon Photovoltaic Cells From Italy
A-479-001,Common Alloy Aluminum Sheet From Croatia
A-479-988,Crystalline Silicon Photovoltaic Cells From Croatia
A-484-803,Large Diameter Welded Carbon and Alloy Steel Line Pipe From Greece
A-484-804,Common Alloy Aluminum Sheet From Greece
A-485-805,"Carbon And Alloy Seamless Standard, Line, And Pressure Pipe (Under 4 1/2 Inches) From Romania"
A-485-807,Circular Welded Non-Alloy Steel Pipe From Romania
A-485-809,Common Alloy Aluminum Sheet From Romania
A-489-501,Welded Carbon Steel Pipe & Tube From Turkey
A-489-805,"Pasta, Certain From Turkey"
A-489-807,Steel Concrete Reinforcing Bar From Turkey
A-489-810,Cold-Rolled Carbon Steel Flat Products From Turkey
A-489-815,Light-Walled Rectangular Pipe And Tube From Turkey
A-489-816,Oil Country Tubular Goods From Turkey
A-489-818,Steel Concrete Reinforcing Bars From Turkey
A-489-820,Steel Nails From Turkey
A-489-822,Welded Line Pipe From Turkey
A-489-824,Heavy Walled Rectangular Welded Carbon Steel Pipes and Tubes From Turkey
A-489-826,Hot-Rolled Steel Flat Products From Turkey
A-489-828,Carbon and Alloy Steel Cut-To-Length Plate From Turkey
A-489-829,Steel Concrete Reinforcing Bar From Turkey
A-489-831,Carbon and Alloy Steel Wire Rod From Turkey
A-489-833,Large Diameter Welded Carbon and Alloy Steel Line and Structural Pipe From Turkey
A-489-835,Dried Tart Cherries From Turkey
A-489-837,Quartz Surface Products From Turkey
A-489-839,Common Alloy Aluminum Sheet From Turkey
A-489-841,Mattresses From Turkey
A-489-842,Prestressed Concrete Steel Wire Strand From Turkey
A-489-988,Crystalline Silicon Photovoltaic Cells From Turkey
A-499-504,Steel Concrete Reinforcing Bars From Latvia
A-499-804,Steel Concrete Reinforcing Bars From Latvia
A-507-502,In-Shell Pistachios From Iran
A-508-812,Magnesium From Israel
A-508-988,Crystalline Silicon Photovoltaic Cells From Israel
A-517-804,Oil Country Tubular Goods From Saudi Arabia
A-517-805,Acetone From Saudi Arabia
A-517-806,Prestressed Concrete Steel Wire Strand From Saudi Arabia
A-520-802,Steel Nails From United Arab Emirates
A-520-803,Polyethylene Terephthalate (Pet) Film From United Arab Emirates
A-520-804,Steel Nails From United Arab Emirates
A-520-805,Circular Welded Carbon-Quality Steel Pipe From United Arab Emirates
A-520-807,Circular Welded Carbon-Quality Steel Pipe From United Arab Emirates
A-520-808,Carbon and Alloy Steel Wire Rod From United Arab Emirates
A-520-809,Prestressed Concrete Steel Wire Strand From United Arab Emirates
A-523-801,Circular Welded Carbon-Quality Steel Pipe From Oman
A-523-808,Steel Nails From Oman
A-523-810,Polyethylene Terephthalate Resin From Oman
A-523-812,Circular Welded Carbon-Quality Steel Pipe From Oman
A-523-813,Polyethylene Terephthalate Sheet From Oman
A-523-814,Common Alloy Aluminum Sheet From Oman
A-525-001,Common Alloy Aluminum Sheet From Bahrain
A-533-502,Welded Carbon Steel Pipe & Tube From India
A-533-806,Sulfanilic Acid From India
A-533-808,Stainless Steel Wire Rod From India
A-533-810,Stainless Steel Bar From India
A-533-813,Certain Preserved Mushrooms From India
A-533-817,Certain Cut-To-Length Carbon-Quality Steel Plate From India
A-533-820,Certain Hot-Rolled Carbon Steel Flat Products From India
A-533-823,Silicomanganese From India
A-533-824,Polyethylene Terephthalate (Pet) Film From India
A-533-828,Prestressed Concrete Steel Wire Strand From India
A-533-838,Carbazole Violet Pigment 23 From India
A-533-840,Frozen Warmwater Shrimp From India
A-533-843,Lined Paper Products From India
A-533-847,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid (Hedp) From India"
A-533-848,Commodity Matchbooks From India
A-533-852,Circular Welded Carbon-Quality Steel Pipe From India
A-533-855,Steel Threaded Rod From India
A-533-857,Oil Country Tubular Goods From India
A-533-859,Steel Nails From India
A-533-861,Polyethylene Terephthalate Resin From India
A-533-863,Corrosion-Resistant Steel Products From India
A-533-865,Cold-Rolled Steel Flat Products From India
A-533-867,Welded Stainless Pressure Pipe From India
A-533-869,Off-the-Road Tires From India
A-533-871,Finished Carbon Steel Flanges From India
A-533-873,Cold-Drawn Mechanical Tubing From India
A-533-875,Fine Denier Polyester Staple Fiber From India
A-533-877,Stainless Steel Flanges From India
A-533-879,Polytetrafluoroethylene (PTFE) Resin From India
A-533-881,Large Diameter Welded Carbon and Alloy Steel Line Pipe From India
A-533-883,Glycine From India
A-533-885,Polyester Textured Yarn From India
A-533-887,Carbon and Alloy Steel Threaded Rod From India
A-533-889,Quartz Surface Products From India
A-533-891,Forged Steel Fittings From India
A-533-893,Forged Steel Fluid End Blocks From India
A-533-895,Common Alloy Aluminum Sheet From India
A-533-988,Crystalline Silicon Photovoltaic Cells From Hungary
A-535-903,Circular Welded Carbon-Quality Steel Pipe From Pakistan
A-535-905,Polyethylene Terephthalate Resin From Pakistan
A-542-802,Rubber Bands From Sri Lanka
A-549-502,Welded Carbon Steel Pipe & Tube From Thailand
A-549-807,Carbon Steel Butt-Weld Pipe Fittings From Thailand
A-549-812,Furfuryl Alcohol From Thailand
A-549-813,Canned Pineapple Fruit From Thailand
A-549-817,Certain Hot-Rolled Carbon Steel Flat Products From Thailand
A-549-820,Prestressed Concrete Steel Wire Strand From Thailand
A-549-821,Polyethylene Retail Carrier Bags From Thailand
A-549-822,Frozen Warmwater Shrimp From Thailand
A-549-829,Prestressed Concrete Steel Rail Tie Wire From Thailand
A-549-830,Welded Stainless Steel Pressure Pipe From Thailand
A-549-831,Steel Threaded Rod From Thailand
A-549-832,Oil Country Tubular Goods From Thailand
A-549-833,Citric Acid and Certain Citrate Salts From Thailand
A-549-835,Rubber Bands From Thailand
A-549-837,Glycine From Thailand
A-549-839,Steel Propane Cylinders From Thailand
A-549-840,Carbon and Alloy Steel Threaded Rod From Thailand
A-549-841,Mattresses From Thailand
A-549-842,Passenger Vehicle and Light Truck Tires From Thailand
A-549-988,Crystalline Silicon Photovoltaic Cells From Thailand
A-552-801,Frozen Fish Fillets From Vietnam
A-552-802,Frozen Warmwater Shrimp From Vietnam
A-552-803,Uncovered Innerspring Units From Vietnam
A-552-806,Polyethylene Retail Carrier Bags From Vietnam
A-552-809,Circular Welded Carbon-Quality Steel Pipe From Vietnam
A-552-811,Circular Welded Carbon-Quality Steel Pipe From Vietnam
A-552-812,Steel Wire Garment Hangers From Vietnam
A-552-814,Utility Scale Wind Towers From Vietnam
A-552-816,Welded Stainless Steel Pressure Pipe From Vietnam
A-552-817,Oil Country Tubular Goods From Vietnam
A-552-818,Steel Nails From Vietnam
A-552-820,Circular Welded Carbon-Quality Steel Pipe From Vietnam
A-552-821,Tool Chests and Cabinets From Vietnam
A-552-822,Fine Denier Polyester Staple Fiber From Vietnam
A-552-823,Laminated Woven Sacks From Vietnam
A-552-825,Utility Scale Wind Towers From Vietnam
A-552-827,Mattresses From Vietnam
A-552-828,Passenger Vehicle and Light Truck Tires From Vietnam
A-552-830,Walk-Behind Lawn Mowers and Parts Thereof From Vietnam
A-552-831,Seamless Refined Copper Pipe and Tube From Vietnam
A-552-988,Crystalline Silicon Photovoltaic Cells From Vietnam
A-555-001,Mattresses From Cambodia
A-557-805,Extruded Rubber Tread From Malaysia
A-557-809,Stainless Steel Butt-Weld Pipe Fittings From Malaysia
A-557-813,Polyethylene Retail Carrier Bags From Malaysia
A-557-815,Welded Stainless Steel Pressure Pipe From Malaysia
A-557-816,Steel Nails From Malaysia
A-557-818,Mattresses From Malaysia
A-557-819,Prestressed Concrete Steel Wire Strand From Malaysia
A-557-820,Silicon Metal From Malaysia
A-557-988,Crystalline Silicon Photovoltaic Cells From Malaysia
A-557-994,Carbon Steel Butt-Weld Pipe Fittings From Malaysia
A-559-801,Anti-Friction Bearings From Singapore
A-559-808,Acetone From Singapore
A-559-988,Crystalline Silicon Photovoltaic Cells From Singapore
A-560-802,Certain Preserved Mushrooms From Indonesia
A-560-805,Certain Cut-To-Length Carbon-Quality Steel Plate From Indonesia
A-560-811,Steel Concrete Reinforcing Bars From Indonesia
A-560-812,Certain Hot-Rolled Carbon Steel Flat Products From Indonesia
A-560-815,Carbon And Certain Alloy Steel Wire Rod From Indonesia
A-560-818,Lined Paper Products From Indonesia
A-560-822,Polyethylene Retail Carrier Bags From Indonesia
A-560-823,Coated Paper Suitable For High-Quality Print Graphics Using Sheet-Fed Presses From Indonesia
A-560-826,Monosodium Glutamate from Indonesia From Indonesia
A-560-828,Uncoated Paper From Indonesia
A-560-830,Biodiesel From Indonesia
A-560-832,Polyethylene Terephthalate Resin From Indonesia
A-560-833,Utility Scale Wind Towers From Indonesia
A-560-835,Common Alloy Aluminum Sheet From Indonesia
A-560-836,Mattresses From Indonesia
A-560-837,Prestressed Concrete Steel Wire Strand From Indonesia
A-565-801,Stainless Steel Butt-Weld Pipe Fittings From Philippines
A-565-802,Oil Country Tubular Goods From Philippines
A-565-803,Circular Welded Carbon-Quality Steel Pipe From Philippines
A-565-988,Crystalline Silicon Photovoltaic Cells From Philippines
A-570-001,Potassium Permanganate From People Republic of China
A-570-002,Chloropicrin From People Republic of China
A-570-007,Barium Chloride From People Republic of China
A-570-008,Calcium Hypochlorite From People Republic of China
A-570-010,Certain Crystalline Silicon Photovoltaic Products From People Republic of China
