Case Number,Case Title
A-791-812,Circular Welded Non-Alloy Steel Pipe From South Africa
A-791-815,Ferrovanadium From South Africa
A-791-821,Uncovered Innerspring Units From South Africa
A-791-822,Carbon and Alloy Steel Cut-To-Length Plate From South Africa
A-791-823,Carbon and Alloy Steel Wire Rod From South Africa
A-791-824,Acetone From South Africa
A-791-825,Common Alloy Aluminum Sheet From South Africa
A-791-826,Prestressed Concrete Steel Wire Strand From South Africa
A-801-001,Common Alloy Aluminum Sheet From Serbia
A-801-002,Mattresses From Serbia
A-821-801,Solid Urea From Russian Federation
A-821-802,Uranium From Russian Federation
A-821-807,Ferrovanadium And Nitrided Vanadium From Russian Federation
A-821-808,Certain Cut-To-Length Carbon Steel From Russian Federation
A-821-809,Certain Hot-Rolled Carbon Steel Flat Products From Russian Federation
A-821-811,Ammonium Nitrate From Russian Federation
A-821-817,Silicon Metal From Russian Federation
A-821-819,Magnesium Metal From Russian Federation
A-821-820,Ferrosilicon From Russian Federation
A-821-821,Grain-Oriented Electrical Steel From Russian Federation
A-821-822,Cold-Rolled Steel Flat Products From Russian Federation
A-821-824,Carbon and Alloy Steel Wire Rod From Russian Federation
A-821-826,"Carbon and Alloy Seamless, Standard, Line and Pressure Pipe From Russian Federation"
A-821-988,Crystalline Silicon Photovoltaic Cells From Russian Federation
A-822-804,Steel Concrete Reinforcing Bars From Belarus
A-822-806,Carbon and Alloy Steel Wire Rod From Belarus
A-823-801,Solid Urea From Ukraine
A-823-805,Silicomanganese From Ukraine
A-823-808,Certain Cut-To-Length Carbon Steel From Ukraine
A-823-809,Steel Concrete Reinforcing Bars From Ukraine
A-823-810,Solid Agricultural Grade Ammonium Nitrate From Ukraine
A-823-811,Certain Hot-Rolled Carbon Steel Flat Products From Ukraine
A-823-812,Carbon And Certain Alloy Steel Wire Rod From Ukraine
A-823-815,Oil Country Tubular Goods From Ukraine
A-823-816,Carbon and Alloy Steel Wire Rod From Ukraine
A-823-817,Prestressed Concrete Steel Wire Strand From Ukraine
A-823-819,"Carbon and Alloy Seamless, Standard, Line and Pressure Pipe From Ukraine"
A-834-807,Silicomanganese From Kazakhstan
A-834-809,Titanium Sponge From Kazakhstan
A-841-804,Steel Concrete Reinforcing Bars From Moldova
A-841-805,Carbon And Certain Alloy Steel Wire Rod From Moldova
A-851-803,Grain-Oriented Electrical Steel from Czech Republic From Czech Republic
A-851-804,"Carbon and Alloy Seamless, Standard, Line and Pressure Pipe From Czech Republic"
A-851-988,Crystalline Silicon Photovoltaic Cells From Czech Republic
A-856-001,Common Alloy Aluminum Sheet From Slovenia
A-891-001,Common Alloy Aluminum Sheet From Croatia
A-893-001,Silicon Metal From Bosnia and Herzegovina
C-000-001,Soap Suds From Angola
C-122-854,Supercalendered Paper From Canada
C-122-858,Softwood Lumber From Canada
C-122-860,100- to 150-Seat Large Civil Aircraft From Canada
C-122-862,Uncoated Groundwood Paper From Canada
C-122-865,Fabricated Structural Steel From Canada
C-122-868,Utility Scale Wind Towers From Canada
C-122-989,Crystalline Silicon Photovoltaic Cells From Canada
C-201-846,Sugar From Mexico
C-201-851,Fabricated Structural Steel From Mexico
C-201-854,Standard Welded Wire Mesh From Mexico
C-201-989,Crystalline Silicon Photovoltaic Cells From Mexico
C-274-807,Melamine From Trinidad and Tobago
C-331-803,Frozen Warmwater Shrimp From Ecuador
C-351-504,Iron Construction Castings From Brazil
C-351-829,Hot-Rolled Flat-Rolled Carbon-Quality Steel Products From Brazil
C-351-833,Carbon And Certain Alloy Steel Wire Rod From Brazil
C-351-844,Cold-Rolled Steel Flat Products From Brazil
C-351-846,Hot-Rolled Steel Flat Products From Brazil
C-351-848,Carbon and Alloy Steel Cut-To-Length Plate From Brazil
C-351-851,Silicon Metal From Brazil
C-351-855,Common Alloy Aluminum Sheet From Brazil
C-357-813,Honey From Argentina
C-357-821,Biodiesel From Argentina
C-357-989,Crystalline Silicon Photovoltaic Cells From Argentina
C-401-989,Crystalline Silicon Photovoltaic Cells From Sweden
C-403-802,Fresh & Chilled Atlantic Salmon From Norway
C-403-989,Crystalline Silicon Photovoltaic Cells From Norway
C-409-989,Crystalline Silicon Photovoltaic Cells From Denmark
C-412-989,Crystalline Silicon Photovoltaic Cells From United Kingdom
C-421-989,Crystalline Silicon Photovoltaic Cells From Netherlands
C-423-809,Stainless Steel Plate in Coils From Belgium
C-423-989,Crystalline Silicon Photovoltaic Cells From Belgium
C-427-819,Low Enriched Uranium From France
C-427-989,Crystalline Silicon Photovoltaic Cells From France
C-428-817,Cut-to-length carbon steel plate From Germany
C-428-848,Forged Steel Fluid End Blocks From Germany
C-428-989,Crystalline Silicon Photovoltaic Cells From Germany
C-433-989,Crystalline Silicon Photovoltaic Cells From Austria
C-437-989,Crystalline Silicon Photovoltaic Cells From Hungary
C-441-989,Crystalline Silicon Photovoltaic Cells From Switzerland
C-455-989,Crystalline Silicon Photovoltaic Cells From Poland
C-469-818,Ripe Olives From Spain
C-469-989,Crystalline Silicon Photovoltaic Cells From Spain
C-471-989,Crystalline Silicon Photovoltaic Cells From Portugal
C-475-819,"Pasta, Certain From Italy"
C-475-827,Certain Cut-To-Length Carbon-Quality Steel Plate From Italy
C-475-833,Corrosion-Resistant Steel Products From Italy
C-475-837,Carbon and Alloy Steel Wire Rod From Italy
C-475-841,Forged Steel Fluid End Blocks From Italy
C-475-989,Crystalline Silicon Photovoltaic Cells From Italy
C-479-989,Crystalline Silicon Photovoltaic Cells From Croatia
C-489-502,Welded Carbon Steel Pipe & Tube From Turkey
C-489-806,"Pasta, Certain From Turkey"
C-489-817,Oil Country Tubular Goods From Turkey
C-489-819,Steel Concrete Reinforcing Bars From Turkey
C-489-821,Steel Nails From Turkey
C-489-823,Welded Line Pipe From Turkey
C-489-825,Heavy Walled Rectangular Welded Carbon Steel Pipes and Tubes From Turkey
C-489-827,Hot-Rolled Steel Flat Products From Turkey
C-489-830,Steel Concrete Reinforcing Bar From Turkey
C-489-832,Carbon and Alloy Steel Wire Rod From Turkey
C-489-834,Large Diameter Welded Carbon and Alloy Steel Structural Pipe From Turkey
C-489-836,Dried Tart Cherries From Turkey
C-489-838,Quartz Surface Products From Turkey
C-489-840,Common Alloy Aluminum Sheet From Turkey
C-489-843,Prestressed Concrete Steel Wire Strand From Turkey
C-489-989,Crystalline Silicon Photovoltaic Cells From Turkey
C-507-501,In-Shell Pistachio Nuts From Iran
C-507-601,Roasted In Shell Pistachios From Iran
C-508-813,Magnesium From Israel
C-508-989,Crystalline Silicon Photovoltaic Cells From Israel
C-520-806,Circular Welded Carbon-Quality Steel Pipe From United Arab Emirates
C-523-802,Circular Welded Carbon-Quality Steel Pipe From Oman
C-523-809,Steel Nails From Oman
C-523-811,Polyethylene Terephthalate Resin From Oman
C-525-002,Common Alloy Aluminum Sheet From Bahrain
C-533-807,Sulfanilic Acid From India
C-533-818,Certain Cut-To-Length Carbon-Quality Steel Plate From India
C-533-821,Certain Hot-Rolled Carbon Steel Flat Products From India
C-533-825,Polyethylene Terephthalate (Pet) Film From India
C-533-829,Prestressed Concrete Steel Wire Strand From India
C-533-839,Carbazole Violet Pigment 23 From India
C-533-844,Lined Paper Products From India
C-533-849,Commodity Matchbooks From India
C-533-853,Circular Welded Carbon-Quality Steel Pipe From India
C-533-854,Frozen Warmwater Shrimp From India
C-533-856,Steel Threaded Rod From India
C-533-858,Oil Country Tubular Goods From India
C-533-860,Steel Nails From India
C-533-862,Polyethylene Terephthalate Resin From India
C-533-864,Corrosion-Resistant Steel Products From India
C-533-866,Cold-Rolled Steel Flat Products From India
C-533-868,Welded Stainless Pressure Pipe From India
C-533-870,Off-the-Road Tires From India
C-533-872,Finished Carbon Steel Flanges From India
C-533-874,Cold-Drawn Mechanical Tubing From India
C-533-876,Fine Denier Polyester Staple Fiber From India
C-533-878,Stainless Steel Flanges From India
C-533-880,Polytetrafluoroethylene (PTFE) Resin From India
C-533-882,Large Diameter Welded Carbon and Alloy Steel Line Pipe From India
C-533-884,Glycine From India
C-533-886,Polyester Textured Yarn From India
C-533-888,Carbon and Alloy Steel Threaded Rod From India
C-533-890,Quartz Surface Products From India
C-533-892,Forged Steel Fittings From India
C-533-894,Forged Steel Fluid End Blocks From India
C-533-896,Common Alloy Aluminum Sheet From India
C-533-989,Crystalline Silicon Photovoltaic Cells From India
C-535-904,Circular Welded Carbon-Quality Steel Pipe From Pakistan
C-542-801,Off-the-Road Tires From Sri Lanka
C-542-803,Rubber Bands From Sri Lanka
C-549-818,Certain Hot-Rolled Carbon Steel Flat Products From Thailand
C-549-828,Frozen Warmwater Shrimp From Thailand
C-549-834,Citric Acid and Certain Citrate Salts From Thailand
C-549-836,Rubber Bands From Thailand
C-549-838,Glycine From Thailand
C-549-989,Crystalline Silicon Photovoltaic Cells From Thailand
C-552-805,Polyethylene Retail Carrier Bags From Vietnam
C-552-810,Circular Welded Carbon-Quality Steel Pipe From Vietnam
C-552-813,Steel Wire Garment Hangers From Vietnam
C-552-815,Frozen Warmwater Shrimp From Vietnam
C-552-819,Steel Nails From Vietnam
C-552-824,Laminated Woven Sacks From Vietnam
C-552-826,Utility Scale Wind Towers From Vietnam
C-552-829,Passenger Vehicle and Light Truck Tires From Vietnam
C-552-989,Crystalline Silicon Photovoltaic Cells From Vietnam
C-557-814,Frozen Warmwater Shrimp From Malaysia
C-557-817,Steel Nails From Malaysia
C-557-989,Crystalline Silicon Photovoltaic Cells From Malaysia
C-559-989,Crystalline Silicon Photovoltaic Cells From Singapore
C-560-806,Certain Cut-To-Length Carbon-Quality Steel Plate From Indonesia
C-560-813,Certain Hot-Rolled Carbon Steel Flat Products From Indonesia
C-560-819,Lined Paper Products From Indonesia
C-560-824,Coated Paper Suitable For High-Quality Print Graphics Using Sheet-Fed Presses From Indonesia
C-560-825,Frozen Warmwater Shrimp From Indonesia
C-560-827,Monosodium Glutamate from Indonesia From Indonesia
C-560-829,Uncoated Paper From Indonesia
C-560-831,Biodiesel From Indonesia
C-560-834,Utility Scale Wind Towers From Indonesia
C-565-989,Crystalline Silicon Photovoltaic Cells From Philippines
C-570-009,Calcium Hypochlorite From People Republic of China
C-570-011,Certain Crystalline Silicon Photovoltaic Products From People Republic of China
C-570-013,for Carbon and Certain Alloy Steel Wire Rod From People Republic of China
C-570-015,53-Foot Domestic Dry Containers From People Republic of China
C-570-017,Passenger Vehicle and Light Truck Tires From People Republic of China
C-570-019,Boltless Steel Shelving Units Prepackaged for Sale From People Republic of China
C-570-021,Melamine From People Republic of China
C-570-023,Uncoated Paper From People Republic of China
C-570-025,Polyethylene Terephthalate Resin From People Republic of China
C-570-027,Corrosion-Resistant Steel Products From People Republic of China
C-570-030,Cold-Rolled Steel Flat Products From People Republic of China
C-570-031,Certain Iron Mechanical Transfer Drive Components From People Republic of China
C-570-035,Off-the-Road Tires From People Republic of China
C-570-037,Biaxial Integral Geogrid Products From People Republic of China
C-570-039,Amorphous Silica Fabric From People Republic of China
C-570-041,Truck and Bus Tires From People Republic of China
C-570-043,Stainless Steel Sheet and Strip From People Republic of China
C-570-046,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid (HEDP) From People Republic of China"
C-570-048,Carbon and Alloy Steel Cut-To-Length Plate From People Republic of China
C-570-050,Ammonium Sulfate From People Republic of China
C-570-052,Hardwood Plywood Products From People Republic of China
C-570-054,Aluminum Foil From People Republic of China
C-570-057,Tool Chests and Cabinets From People Republic of China
C-570-059,Cold-Drawn Mechanical Tubing From People Republic of China
C-570-061,Fine Denier Polyester Staple Fiber From People Republic of China
C-570-063,Cast Iron Soil Pipe Fittings From People Republic of China
C-570-065,Stainless Steel Flanges From People Republic of China
C-570-068,Forged Steel Fittings From People Republic of China
C-570-070,Rubber Bands From People Republic of China
C-570-072,"Sodium Gluconate, Gluconic Acid and Derivative Products From People Republic of China"
C-570-074,Common Alloy Aluminum Sheet From People Republic of China
C-570-076,Plastic Decorative Ribbon From People Republic of China
C-570-078,Large Diameter Welded Carbon and Alloy Steel Structural Pipe From People Republic of China
C-570-080,Cast Iron Soil Pipe From People Republic of China
C-570-081,Glycine From People Republic of China
C-570-083,Steel Wheels From People Republic of China
C-570-085,Quartz Surface Products From People Republic of China
C-570-087,Steel Propane Cylinders From People Republic of China
C-570-089,Steel Racks From People Republic of China
C-570-091,Certain Steel Wheels 12 to 16.5 Inches in Diameter From People Republic of China
C-570-094,Refillable Stainless Steel Kegs From People Republic of China
C-570-096,Aluminum Wire and Cable From People Republic of China
C-570-098,Polyester Textured Yarn From People Republic of China
C-570-103,Fabricated Structural Steel From People Republic of China
C-570-105,Carbon and Alloy Steel Threaded Rod From People Republic of China
C-570-107,Wooden Cabinets and Vanities and Components Thereof From People Republic of China
C-570-109,Ceramic Tile From People Republic of China
C-570-111,Vertical Metal File Cabinets From People Republic of China
C-570-113,Collated Steel Staples From People Republic of China
C-570-115,Glass Containers From People Republic of China
C-570-116,Forged Steel Fluid End Blocks From People Republic of China
C-570-118,Wood Mouldings and Millwork Products From People Republic of China
C-570-120,"Vertical Shaft Engines between 225cc and 999cc, and Parts Thereof From People Republic of China"
C-570-123,Corrosion Inhibitors From People Republic of China
C-570-125,"Certain Vertical Shaft Engines between 99cc and 225cc, and Parts Thereof From People Republic of China"
C-570-127,Non-Refillable Steel Cylinders From People Republic of China
C-570-128,Mattresses From People Republic of China
C-570-130,Walk-Behind Lawn Mowers and Parts Thereof From People Republic of China
C-570-132,Twist Ties From People Republic of China
C-570-134,Metal Lockers and Parts Thereof From People Republic of China
C-570-136,Chassis and Subassemblies Thereof From People Republic of China
C-570-911,Circular Welded Carbon Quality Steel Pipe From People Republic of China
C-570-913,New Pneumatic Off-The-Road Tires From People Republic of China
C-570-915,Light-Walled Rectangular Pipe And Tube From People Republic of China
C-570-917,Laminated Woven Sacks From People Republic of China
C-570-921,Lightweight Thermal Paper From People Republic of China
C-570-923,Raw Flexible Magnets From People Republic of China
C-570-926,Sodium Nitrite From People Republic of China
C-570-931,Circular Welded Austenitic Stainless Pressure Pipe From People Republic of China
C-570-936,Circular Welded Carbon Quality Steel Line Pipe From People Republic of China
C-570-938,Citric Acid And Citrate Salt From People Republic of China
C-570-940,Tow-Behind Lawn Groomers And Parts Thereof From People Republic of China
C-570-942,Kitchen Appliance Shelving And Racks From People Republic of China
C-570-944,Oil Country Tubular Goods From People Republic of China
C-570-946,Prestressed Concrete Steel Wire Strand From People Republic of China
C-570-948,Steel Grating From People Republic of China
C-570-950,Wire Decking From People Republic of China
C-570-953,Narrow Woven Ribbons With Woven Selvedge From People Republic of China
C-570-955,Magnesia Carbon Bricks From People Republic of China
C-570-957,"Seamless Carbon And Alloy Steel Standard, Line, And Pressure Pipe From People Republic of China"
C-570-959,Coated Paper Suitable For High-Quality Print Graphics Using Sheet-Fed Presses From People Republic of China
C-570-961,Standard Steel Fasteners From People Republic of China
C-570-963,Potassium Phosphate Salts From People Republic of China
C-570-966,Drill Pipe From People Republic of China
C-570-968,Aluminum Extrusions From People Republic of China
C-570-971,Multilayered Wood Flooring From People Republic of China
C-570-974,Steel Wheels From People Republic of China
C-570-976,Galvanized Steel Wire From People Republic of China
C-570-978,High Pressure Steel Cylinders From People Republic of China
C-570-980,"Crystalline Silicon Photovoltaic Cells, Whether or Not Assembled Into Modules From People Republic of China"
C-570-982,Utility Scale Wind Towers From People Republic of China
C-570-984,Drawn Stainless Steel Sinks From People Republic of China
C-570-987,Hardwood and Decorative Plywood From People Republic of China
C-570-989,Frozen Warmwater Shrimp From People Republic of China
C-570-991,Chlorinated Isocyanurates From People Republic of China
C-570-993,Monosodium Glutamate from China From People Republic of China
C-570-995,Grain-Oriented Electrical Steel from The People's Republic of China From People Republic of China
C-570-997,Non-Oriented Electrical Steel From People Republic of China
C-570-999,"1,1,1,2-Tetrafluoroethane From People Republic of China"
C-580-818,Corrosion-Resistant Carbon Steel Flat Products From South Korea
C-580-835,Stainless Steel Sheet And Strip In Coils From South Korea
C-580-837,Certain Cut-To-Length Carbon-Quality Steel Plate From South Korea
C-580-851,DRAMS From South Korea
C-580-866,Bottom Mount Combination Refrigerator-Freezers From South Korea
C-580-869,Large Residential Washers From South Korea
C-580-873,Non-Oriented Electrical Steel From South Korea
C-580-875,Steel Nails From South Korea
C-580-877,Welded Line Pipe From South Korea
C-580-879,Corrosion-Resistant Steel Products From South Korea
C-580-882,Cold-Rolled Steel Flat Products From South Korea
C-580-884,Hot-Rolled Steel Flat Products From South Korea
C-580-888,Carbon and Alloy Steel Cut-To-Length Plate From South Korea
C-580-898,Large Diameter Welded Carbon and Alloy Steel Line and Structural Pipe From South Korea
C-580-910,"Carbon and Alloy Seamless, Standard, Line and Pressure Pipe From South Korea"
C-580-989,Crystalline Silicon Photovoltaic Cells From South Korea
C-582-989,"Crystalline Silicon Photovoltaic Cells From Hong Kong, China"
C-583-852,Non-Oriented Electrical Steel From Taiwan
C-583-855,Steel Nails From Taiwan
C-583-857,Corrosion-Resistant Steel Products From Taiwan
C-583-989,Crystalline Silicon Photovoltaic Cells From Taiwan
C-588-989,Crystalline Silicon Photovoltaic Cells From Japan
C-602-811,Silicon Metal From Australia
C-602-989,Crystalline Silicon Photovoltaic Cells From Australia
C-614-989,Crystalline Silicon Photovoltaic Cells From New Zealand
C-714-001,Phosphate Fertilizers From Morocco
C-791-806,Stainless Steel Plate In Coils From South Africa
C-821-823,Cold-Rolled Steel Flat Products From Russian Federation
C-821-825,Phosphate Fertilizers From Russian Federation
C-821-827,"Carbon and Alloy Seamless, Standard, Line and Pressure Pipe From Russian Federation"
C-821-989,Crystalline Silicon Photovoltaic Cells From Russian Federation
C-834-808,Silicon Metal From Kazakhstan
C-834-810,Titanium Sponge From Kazakhstan
C-834-811,Silicon Metal From Kazakhstan
C-851-989,Crystalline Silicon Photovoltaic Cells From Czech Republic
